Date,Close,Open,RSV,ATR,MA7,MA14,MA21,Middle_Band,Upper_Band,Lower_Band,DIF,DEA,MACD
1990/12/17,2593.32,2581.19,33.9585,43.9542,2599.5414,2583.4693,2569.4257,2570.3845,2635.8372,2504.9318,24.8246,24.3764,0.8963
1990/12/18,2626.73,2593.32,72.8838,44.8632,2604.7743,2590.0107,2573.0676,2573.4535,2643.5067,2503.4003,26.0639,24.7139,2.6999
1990/12/19,2626.73,2626.73,89.6099,44.5937,2609.0529,2597.7193,2575.9905,2578.28,2649.0829,2507.4771,26.7378,25.1187,3.2382
1990/12/20,2629.46,2626.73,86.8641,44.1841,2615.2414,2602.7057,2580.7171,2582.785,2654.6192,2510.9508,27.1789,25.5307,3.2963
1990/12/21,2633.66,2629.46,82.7429,44.3874,2616.8671,2607.5679,2585.2076,2588.1065,2658.3636,2517.8494,27.5498,25.9345,3.2305
1990/12/24,2621.29,2632.92,65.1444,42.3833,2617.8571,2610.5386,2589.6867,2592.5125,2659.2266,2525.7984,26.5396,26.0555,0.9682
1990/12/26,2637.13,2621.29,87.6796,41.2123,2624.0457,2612.4479,2594.6371,2597.1785,2662.5913,2531.7657,26.7093,26.1863,1.0461
1990/12/27,2625.5,2637.13,71.1339,40.0186,2628.6429,2614.0921,2598.5271,2601.696,2661.2927,2542.0993,25.6102,26.0711,-0.9218
1990/12/28,2629.21,2625,76.412,38.2566,2628.9971,2616.8857,2603.0062,2607.216,2653.4384,2560.9936,24.7531,25.8075,-2.1087
1990/12/31,2633.66,2628.96,77.6241,36.9561,2629.9871,2619.52,2608.4752,2610.9165,2652.7465,2569.0865,24.1545,25.4769,-2.6447
1991/1/2,2610.64,2633.66,25.2605,36.6149,2627.2986,2621.27,2610.9033,2613.169,2649.1673,2577.1707,21.5739,24.6963,-6.2448
1991/1/3,2573.51,2610.64,1.3512,36.8467,2618.7057,2617.7864,2611.2805,2612.8595,2650.1526,2575.5664,16.3443,23.0259,-13.3632
